tablename,rls_aktiv
v7_archive,false
v7_client_companies,false
v7_consultant_access,false
v7_consultant_companies,false
v7_data_completion,false
v7_employees,false
v7_fzul_timesheets,false
v7_netzwerk_eigenanteile,false
v7_netzwerk_partner,false
v7_payment_requests,true
v7_project_assignments,false
v7_project_budget,false
v7_project_team,false
v7_projects,false
v7_timesheet_completions,false
v7_timesheets,false
v7_user_profiles,false
v7_work_package_assignments,false
v7_work_packages,false
v7_zahlungsanforderungen,false
