id,employee_id,project_id,work_date,hours,day_type,data_source,source_filename,source_row,imported_at,imported_by,entered_by,entered_at,description,is_active,created_at,updated_at,work_package_id,absence_code,is_billable,notes,is_technical
e622d6ac-17f9-4dba-9c71-bb9c4861c065,1edb3a61-b1d4-4889-a89f-b43401ccf5a2,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-01,7.6,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 17:43:54.993+00,null,false,2026-03-22 17:42:32.972938+00,2026-03-22 18:34:36.582598+00,c639b0c7-ec00-4001-9356-6759c1b2956d,null,true,null,null
108e8e97-76ef-4d3a-8ad9-375c2e46d301,26849e30-a026-45ae-814f-af82f129a74a,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-01,4,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 17:46:58.342+00,null,true,2026-03-22 17:46:58.665573+00,2026-03-22 17:46:58.342+00,c639b0c7-ec00-4001-9356-6759c1b2956d,null,true,null,null
f73a1513-ae35-41da-bad1-79243702e0cc,07f24df6-84e1-4eb7-91d2-41d2b5e5936a,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-01,4,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 19:15:11.337+00,null,true,2026-03-22 18:23:05.797784+00,2026-03-22 19:15:11.758253+00,27b8a431-e9a2-45fc-a9c6-6faa895022be,null,true,null,null
3d488b8f-2fab-41db-85e8-d7e3653b5be7,1edb3a61-b1d4-4889-a89f-b43401ccf5a2,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-01,7.6,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 18:34:36.21+00,null,true,2026-03-22 18:34:36.720242+00,2026-03-22 18:34:36.21+00,c639b0c7-ec00-4001-9356-6759c1b2956d,null,true,null,null
cedf9e5a-5296-4457-a05b-7d6c347068bf,1edb3a61-b1d4-4889-a89f-b43401ccf5a2,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-04,7.6,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 18:34:36.21+00,null,true,2026-03-22 17:42:33.070613+00,2026-03-22 18:34:37.133304+00,c639b0c7-ec00-4001-9356-6759c1b2956d,null,true,null,null
33f90213-9030-40fb-aa72-600f45051f0f,26849e30-a026-45ae-814f-af82f129a74a,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-04,4,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 17:46:58.342+00,null,true,2026-03-22 17:46:58.769686+00,2026-03-22 17:46:58.342+00,c639b0c7-ec00-4001-9356-6759c1b2956d,null,true,null,null
81e95367-1cfb-4f2d-834c-04647fa1180e,07f24df6-84e1-4eb7-91d2-41d2b5e5936a,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-04,4,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 19:15:11.337+00,null,true,2026-03-22 18:23:05.912606+00,2026-03-22 19:15:11.901063+00,27b8a431-e9a2-45fc-a9c6-6faa895022be,null,true,null,null
345d1310-94e9-41ae-bad9-81e4acbe6ff6,1edb3a61-b1d4-4889-a89f-b43401ccf5a2,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-05,7.6,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 18:34:36.21+00,null,true,2026-03-22 17:42:33.272296+00,2026-03-22 18:34:37.294077+00,c639b0c7-ec00-4001-9356-6759c1b2956d,null,true,null,null
785afae5-e52d-42e4-9374-90bd36a6cec0,26849e30-a026-45ae-814f-af82f129a74a,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-05,4,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 17:46:58.342+00,null,true,2026-03-22 17:46:58.877244+00,2026-03-22 17:46:58.342+00,c639b0c7-ec00-4001-9356-6759c1b2956d,null,true,null,null
178ce6ed-0f56-40a7-8611-190b958e56ad,07f24df6-84e1-4eb7-91d2-41d2b5e5936a,5d73f3d3-b6c5-4368-b753-1dcf38c16102,2025-08-05,4,work,manual,null,null,null,null,fb8513ee-5592-4bc4-8c2f-b7cf42c38dfb,2026-03-22 19:15:11.337+00,null,true,2026-03-22 18:23:06.017276+00,2026-03-22 19:15:12.04625+00,27b8a431-e9a2-45fc-a9c6-6faa895022be,null,true,null,null
