table_name,column_name,data_type,is_nullable,column_default
v7_archive,id,uuid,NO,gen_random_uuid()
v7_archive,client_company_id,uuid,NO,null
v7_archive,employee_id,uuid,YES,null
v7_archive,file_type,text,NO,null
v7_archive,file_name,text,NO,null
v7_archive,file_data,bytea,YES,null
v7_archive,file_size,integer,YES,null
v7_archive,year,integer,YES,null
v7_archive,based_on_source,USER-DEFINED,YES,null
v7_archive,generated_by,uuid,YES,null
v7_archive,notes,text,YES,null
v7_archive,created_at,timestamp with time zone,YES,now()
v7_client_companies,id,uuid,NO,gen_random_uuid()
v7_client_companies,consultant_company_id,uuid,NO,null
v7_client_companies,name,text,NO,null
v7_client_companies,short_name,text,YES,null
v7_client_companies,street,text,YES,null
v7_client_companies,zip_code,text,YES,null
v7_client_companies,city,text,YES,null
v7_client_companies,federal_state,text,NO,'DE-BW'::text
v7_client_companies,contact_person,text,YES,null
v7_client_companies,contact_email,text,YES,null
v7_client_companies,contact_phone,text,YES,null
v7_client_companies,internal_notes,text,YES,null
v7_client_companies,is_active,boolean,YES,true
v7_client_companies,created_at,timestamp with time zone,YES,now()
v7_client_companies,updated_at,timestamp with time zone,YES,now()
v7_client_companies,status,text,YES,'active'::text
v7_client_companies,onboarding_type,text,YES,null
v7_client_companies,invited_at,timestamp with time zone,YES,null
v7_client_companies,registered_at,timestamp with time zone,YES,null
v7_client_companies,invitation_token,uuid,YES,gen_random_uuid()
v7_client_companies,invitation_expires_at,timestamp with time zone,YES,null
v7_client_companies,vat_id,text,YES,null
v7_client_companies,website,text,YES,null
v7_client_companies,logo_url,text,YES,null
v7_client_companies,legal_name,text,YES,null
v7_client_companies,kmu_status,character varying,YES,null
v7_client_companies,founding_year,integer,YES,null
v7_client_companies,industry_sector,character varying,YES,null
v7_client_companies,employee_count,integer,YES,null
v7_client_companies,annual_revenue,numeric,YES,null
v7_client_companies,balance_sheet_total,numeric,YES,null
v7_client_companies,commercial_register,character varying,YES,null
v7_consultant_access,id,uuid,NO,gen_random_uuid()
v7_consultant_access,consultant_user_id,uuid,NO,null
v7_consultant_access,client_company_id,uuid,NO,null
v7_consultant_access,authorized_by,uuid,YES,null
v7_consultant_access,authorized_at,timestamp with time zone,YES,now()
v7_consultant_access,valid_from,date,YES,CURRENT_DATE
v7_consultant_access,valid_until,date,YES,null
v7_consultant_access,can_view,boolean,YES,true
v7_consultant_access,can_edit,boolean,YES,true
v7_consultant_access,can_export,boolean,YES,true
v7_consultant_access,is_active,boolean,YES,true
v7_consultant_access,created_at,timestamp with time zone,YES,now()
v7_consultant_companies,id,uuid,NO,gen_random_uuid()
v7_consultant_companies,name,text,NO,null
v7_consultant_companies,short_name,text,YES,null
v7_consultant_companies,street,text,YES,null
v7_consultant_companies,zip_code,text,YES,null
v7_consultant_companies,city,text,YES,null
v7_consultant_companies,federal_state,text,YES,null
v7_consultant_companies,contact_person,text,YES,null
v7_consultant_companies,contact_email,text,YES,null
v7_consultant_companies,contact_phone,text,YES,null
v7_consultant_companies,website,text,YES,null
v7_consultant_companies,tax_id,text,YES,null
v7_consultant_companies,internal_notes,text,YES,null
v7_consultant_companies,is_active,boolean,YES,true
v7_consultant_companies,created_at,timestamp with time zone,YES,now()
v7_consultant_companies,updated_at,timestamp with time zone,YES,now()
v7_data_completion,id,uuid,NO,gen_random_uuid()
v7_data_completion,client_company_id,uuid,NO,null
v7_data_completion,year,integer,NO,null
v7_data_completion,data_source,USER-DEFINED,NO,null
v7_data_completion,is_complete,boolean,YES,false
v7_data_completion,is_released,boolean,YES,false
v7_data_completion,released_by,uuid,YES,null
v7_data_completion,released_at,timestamp with time zone,YES,null
v7_data_completion,preferred_for_analysis,boolean,YES,false
v7_data_completion,preferred_set_by,uuid,YES,null
v7_data_completion,preferred_set_at,timestamp with time zone,YES,null
v7_data_completion,notes,text,YES,null
v7_data_completion,created_at,timestamp with time zone,YES,now()
v7_data_completion,updated_at,timestamp with time zone,YES,now()
v7_employees,id,uuid,NO,gen_random_uuid()
v7_employees,client_company_id,uuid,NO,null
v7_employees,user_id,uuid,YES,null
v7_employees,display_name,text,NO,null
v7_employees,first_name,text,YES,null
v7_employees,last_name,text,YES,null
v7_employees,weekly_hours,numeric,YES,40.0
v7_employees,annual_leave_days,integer,YES,30
v7_employees,position_title,text,YES,null
v7_employees,qualification,text,YES,null
v7_employees,employment_start,date,YES,null
v7_employees,employment_end,date,YES,null
v7_employees,notes,text,YES,null
v7_employees,is_active,boolean,YES,true
v7_employees,created_at,timestamp with time zone,YES,now()
v7_employees,updated_at,timestamp with time zone,YES,now()
v7_employees,email,text,YES,null
v7_employees,position,text,YES,null
v7_employees,name,text,YES,null
v7_employees,entry_date,date,YES,null
v7_employees,exit_date,date,YES,null
v7_employees,portal_role,text,YES,'employee'::text
v7_employees,birth_date,date,YES,null
v7_employees,education_degree,text,YES,null
v7_employees,education_year,integer,YES,null
v7_employees,annual_salary,numeric,YES,null
v7_employees,company_weekly_hours,numeric,YES,40.0
v7_employees,hourly_rate,numeric,YES,null
v7_employees,employee_number,integer,YES,null
v7_employees_with_projects,id,uuid,YES,null
v7_employees_with_projects,client_company_id,uuid,YES,null
v7_employees_with_projects,user_id,uuid,YES,null
v7_employees_with_projects,display_name,text,YES,null
v7_employees_with_projects,first_name,text,YES,null
v7_employees_with_projects,last_name,text,YES,null
v7_employees_with_projects,weekly_hours,numeric,YES,null
v7_employees_with_projects,annual_leave_days,integer,YES,null
v7_employees_with_projects,position_title,text,YES,null
v7_employees_with_projects,qualification,text,YES,null
v7_employees_with_projects,employment_start,date,YES,null
v7_employees_with_projects,employment_end,date,YES,null
v7_employees_with_projects,notes,text,YES,null
v7_employees_with_projects,is_active,boolean,YES,null
v7_employees_with_projects,created_at,timestamp with time zone,YES,null
v7_employees_with_projects,updated_at,timestamp with time zone,YES,null
v7_employees_with_projects,email,text,YES,null
v7_employees_with_projects,position,text,YES,null
v7_employees_with_projects,name,text,YES,null
